Assembly	Best match locus	Best match type	Match confidence	Problems	Identity	Coverage	Length discrepancy	Expected genes in locus	Expected genes in locus, details	Missing expected genes	Other genes in locus	Other genes in locus, details	Expected genes outside locus	Expected genes outside locus, details	Other genes outside locus	Other genes outside locus, details	Truncated genes, details	Extra genes, details
2164	KL24	K24	Typeable		100.00%	100.00%	0 bp	19 / 19 (100.00%)	KL24_01_galF,100.00%,100.00%;KL24_02_cpsACP,100.00%,100.00%;KL24_03_wzi,100.00%,100.00%;KL24_04_wza,100.00%,100.00%;KL24_05_wzb,100.00%,100.00%;KL24_06_wzc,100.00%,100.00%;KL24_07_wcuD,100.00%,100.00%;KL24_08_wcuC,100.00%,100.00%;KL24_09_wcuV,100.00%,100.00%;KL24_10_wbaZ,100.00%,100.00%;KL24_11_wcaJ,100.00%,100.00%;KL24_12_wcuE,100.00%,100.00%;KL24_13_wcuG,100.00%,100.00%;KL24_14_wzy,100.00%,100.00%;KL24_15_wzx,100.00%,100.00%;KL24_16_gnd,100.00%,100.00%;KL24_17_manC,100.00%,100.00%;KL24_18_manB,100.00%,100.00%;KL24_19_ugd,100.00%,100.00%		0		0 / 19 (0.00%)		2	KL40_05_rfaG,98.42%,99.74%;KL150_19_gmd,99.70%,100.00%		
218KP-HG	KL151	unknown (KL151)	Typeable	?2-	99.66%	93.78%	n/a	16 / 21 (76.19%)	KL151_01_galF,99.33%,100.00%;KL151_02_cpsACP,99.52%,100.00%;KL151_03_wzi,99.37%,100.00%;KL151_04_wza,100.00%,100.00%;KL151_05_wzb,100.00%,100.00%;KL151_06_wzc,99.86%,100.00%;KL151_07,100.00%,100.00%;KL151_08_wcaJ,100.00%,100.00%;KL151_09,100.00%,100.00%;KL151_10_pglI,99.25%,94.33%,partial;KL151_12,98.36%,81.50%,partial;KL151_13_wfgD,99.67%,100.00%;KL151_14,99.75%,100.00%;KL151_15,99.74%,100.00%;KL151_16_gnd,100.00%,100.00%;KL151_17_rmlB,99.72%,100.00%;KL151_18_rmlA,100.00%,100.00%;KL151_19_rmlD,100.00%,100.00%;KL151_20_rmlC,98.91%,100.00%;KL151_21_ugd,99.74%,100.00%	KL151_11_wzy	0		0 / 21 (0.00%)		1	KL150_19_gmd,90.72%,100.00%		
225KP-HG	KL1	K1	Typeable	?3	99.98%	99.59%	n/a	20 / 20 (100.00%)	KL1_01_galF,100.00%,100.00%;KL1_02_cpsACP,100.00%,100.00%;KL1_03_wzi,100.00%,100.00%;KL1_04_wza,100.00%,100.00%;KL1_05_wzb,100.00%,100.00%;KL1_06_wzc,99.86%,100.00%;KL1_07_wzx,100.00%,100.00%;KL1_08_wclY,100.00%,100.00%;KL1_09_wzy,100.00%,93.63%,partial;KL1_10_wcsS,100.00%,98.36%,partial;KL1_11_wcsT,100.00%,100.00%;KL1_12_gmd,100.00%,100.00%;KL1_13_wcaG,99.71%,100.00%;KL1_14_wcaH,100.00%,100.00%;KL1_15_wcaI,100.00%,100.00%;KL1_16_wcaJ,100.00%,69.16%,partial;KL1_16_wcaJ,100.00%,31.26%,partial;KL1_17_gnd,100.00%,100.00%;KL1_18_manC,100.00%,100.00%;KL1_19_manB,100.00%,100.00%;KL1_20_ugd,100.00%,100.00%		0		0 / 20 (0.00%)		4	KL40_03_wcpO,97.62%,76.67%;KL40_04,99.50%,100.00%;KL40_05_rfaG,99.74%,100.00%;KL150_19_gmd,99.10%,100.00%		
228	KL36	K36	Typeable		99.86%	100.00%	0 bp	21 / 21 (100.00%)	KL36_01_galF,100.00%,100.00%;KL36_02_cpsACP,97.61%,100.00%;KL36_03_wzi,100.00%,100.00%;KL36_04_wza,100.00%,100.00%;KL36_05_wzb,100.00%,100.00%;KL36_06_wzc,100.00%,100.00%;KL36_07_wcaJ,100.00%,100.00%;KL36_08_wcaA,100.00%,100.00%;KL36_09_rmlB,100.00%,100.00%;KL36_10_rmlA,100.00%,100.00%;KL36_11_rmlC,100.00%,100.00%;KL36_12_wzy,99.70%,100.00%;KL36_13_wckE,100.00%,100.00%;KL36_14_wcuM,100.00%,100.00%;KL36_15,100.00%,100.00%;KL36_16_wckT,100.00%,100.00%;KL36_17_wzx,100.00%,100.00%;KL36_18_wcuJ,99.71%,100.00%;KL36_19_rmlD,100.00%,100.00%;KL36_20_gnd,100.00%,100.00%;KL36_21_ugd,100.00%,100.00%		0		0 / 21 (0.00%)		1	KL150_19_gmd,88.62%,100.00%		
234KP-HG	KL112	unknown (KL112)	Typeable		99.53%	100.00%	0 bp	18 / 18 (100.00%)	KL112_01_galF,100.00%,100.00%;KL112_02_cpsACP,99.52%,100.00%;KL112_03_wzi,97.06%,100.00%;KL112_04_wza,100.00%,100.00%;KL112_05_wzb,99.31%,100.00%;KL112_06_wzc,99.72%,100.00%;KL112_07_wbaP,100.00%,100.00%;KL112_08,99.51%,100.00%;KL112_09_wzy,99.25%,100.00%;KL112_10_wcaO,100.00%,100.00%;KL112_11_wcaN,100.00%,100.00%;KL112_12_wbaZ,98.96%,100.00%;KL112_13_wcuV,99.70%,100.00%;KL112_14_wzx,99.58%,100.00%;KL112_15_gnd,100.00%,100.00%;KL112_16_manC,99.58%,100.00%;KL112_17_manB,99.78%,100.00%;KL112_18_ugd,99.48%,100.00%		0		0 / 18 (0.00%)		2	KL40_05_rfaG,98.42%,99.74%;KL150_19_gmd,99.70%,100.00%		
242KP-HG	KL19	K19	Typeable	?2	97.82%	99.34%	n/a	20 / 20 (100.00%)	KL19_01_galF,98.99%,100.00%;KL19_02_cpsACP,96.17%,100.00%;KL19_03_wzi,97.49%,100.00%;KL19_04_wza,97.88%,100.00%;KL19_05_wzb,100.00%,100.00%;KL19_06_wzc,98.47%,99.72%;KL19_07_wcaJ,98.74%,100.00%;KL19_08_wcuF,94.64%,75.88%,partial;KL19_08_wcuF,93.88%,13.28%,partial;KL19_09_wcmY,96.61%,100.00%;KL19_10_wzx,97.07%,100.00%;KL19_11_wctW,97.16%,100.00%;KL19_12_wctX,99.22%,100.00%;KL19_13_wzy,98.84%,100.00%;KL19_14,94.68%,100.00%;KL19_15_gnd,99.57%,100.00%;KL19_16_rmlB,99.15%,100.00%;KL19_17_rmlA,98.23%,97.58%;KL19_18_rmlD,98.65%,100.00%;KL19_19_rmlC,98.91%,100.00%;KL19_20_ugd,99.74%,100.00%		0		0 / 20 (0.00%)		4	KL40_03_wcpO,98.99%,100.00%;KL40_04,99.50%,100.00%;KL40_05_rfaG,99.21%,100.00%;KL150_19_gmd,99.10%,100.00%		
245	KL36	K36	Typeable		99.86%	100.00%	0 bp	21 / 21 (100.00%)	KL36_01_galF,100.00%,100.00%;KL36_02_cpsACP,97.61%,100.00%;KL36_03_wzi,100.00%,100.00%;KL36_04_wza,100.00%,100.00%;KL36_05_wzb,100.00%,100.00%;KL36_06_wzc,100.00%,100.00%;KL36_07_wcaJ,100.00%,100.00%;KL36_08_wcaA,100.00%,100.00%;KL36_09_rmlB,100.00%,100.00%;KL36_10_rmlA,100.00%,100.00%;KL36_11_rmlC,100.00%,100.00%;KL36_12_wzy,99.70%,100.00%;KL36_13_wckE,100.00%,100.00%;KL36_14_wcuM,100.00%,100.00%;KL36_15,100.00%,100.00%;KL36_16_wckT,100.00%,100.00%;KL36_17_wzx,100.00%,100.00%;KL36_18_wcuJ,99.71%,100.00%;KL36_19_rmlD,100.00%,100.00%;KL36_20_gnd,100.00%,100.00%;KL36_21_ugd,100.00%,100.00%		0		0 / 21 (0.00%)		1	KL150_19_gmd,88.62%,100.00%		
255KP-HG	KL22	K22	Typeable		99.74%	100.00%	-1 bp	14 / 18 (77.78%)	KL22_01_galF,100.00%,100.00%;KL22_02_cpsACP,99.04%,100.00%;KL22_03_wzi,99.79%,100.00%;KL22_04_wza,100.00%,100.00%;KL22_05_wzb,100.00%,100.00%;KL22_06_wzc,100.00%,100.00%;KL22_07_wzy,100.00%,100.00%;KL22_08,100.00%,100.00%;KL22_09,99.33%,100.00%;KL22_10_wfeD,100.00%,100.00%;KL22_11_wzx,100.00%,100.00%;KL22_12_rutE,99.17%,100.00%;KL22_13,100.00%,100.00%;KL22_14,99.76%,100.00%;KL22_15_wcaJ,99.78%,100.00%;KL22_16_gnd,99.79%,100.00%;KL22_17,99.40%,100.00%;KL22_18_ugd,99.23%,100.00%		0		0 / 18 (0.00%)		2	KL40_05_rfaG,98.15%,99.74%;KL150_19_gmd,98.80%,100.00%		
268KP-HG	KL17	K17	Typeable	!	100.00%	100.00%	-2 bp	20 / 20 (100.00%)	KL17_01_galF,100.00%,100.00%;KL17_02_cpsACP,100.00%,100.00%;KL17_03_wzi,100.00%,100.00%;KL17_04_wza,100.00%,100.00%;KL17_05_wzb,100.00%,100.00%;KL17_06_wzc,100.00%,100.00%;KL17_07_wzy,100.00%,100.00%;KL17_08_wctR,100.00%,100.00%;KL17_09_wctS,100.00%,100.00%;KL17_10_wctT,100.00%,20.64%,truncated;KL17_11_wctU,100.00%,100.00%;KL17_12_wcaJ,100.00%,100.00%;KL17_13_wcmZ,100.00%,100.00%;KL17_14_wzx,100.00%,100.00%;KL17_15_gnd,100.00%,100.00%;KL17_16_rmlB,100.00%,100.00%;KL17_17_rmlA,100.00%,100.00%;KL17_18_rmlD,100.00%,100.00%;KL17_19_rmlC,100.00%,100.00%;KL17_20_ugd,100.00%,100.00%		0		0 / 20 (0.00%)		2	KL40_05_rfaG,98.67%,99.21%;KL150_19_gmd,99.10%,100.00%	KL17_10_wctT,100.00%,20.64%,truncated	
33KP-HG	KL24	K24	Typeable		99.98%	100.00%	0 bp	19 / 19 (100.00%)	KL24_01_galF,100.00%,100.00%;KL24_02_cpsACP,100.00%,100.00%;KL24_03_wzi,100.00%,100.00%;KL24_04_wza,100.00%,100.00%;KL24_05_wzb,100.00%,100.00%;KL24_06_wzc,100.00%,100.00%;KL24_07_wcuD,100.00%,100.00%;KL24_08_wcuC,100.00%,100.00%;KL24_09_wcuV,100.00%,100.00%;KL24_10_wbaZ,100.00%,100.00%;KL24_11_wcaJ,100.00%,100.00%;KL24_12_wcuE,99.70%,100.00%;KL24_13_wcuG,100.00%,100.00%;KL24_14_wzy,100.00%,100.00%;KL24_15_wzx,100.00%,100.00%;KL24_16_gnd,100.00%,100.00%;KL24_17_manC,100.00%,100.00%;KL24_18_manB,100.00%,100.00%;KL24_19_ugd,100.00%,100.00%		0		0 / 19 (0.00%)		2	KL40_05_rfaG,98.42%,99.74%;KL150_19_gmd,99.70%,100.00%		
34KP-HG	KL51	K51	Typeable		99.69%	99.99%	2 bp	16 / 16 (100.00%)	KL51_01_galF,99.33%,100.00%;KL51_02_cpsACP,100.00%,100.00%;KL51_03_wzi,99.58%,100.00%;KL51_04_wza,99.74%,100.00%;KL51_05_wzb,100.00%,100.00%;KL51_06_wzc,99.86%,100.00%;KL51_07_wcaJ,99.79%,100.00%;KL51_08_wcpB,100.00%,100.00%;KL51_09_wzy,99.45%,100.00%;KL51_10_wcuF,99.18%,100.00%;KL51_11_wcpA,99.73%,100.00%;KL51_12_wzx,100.00%,100.00%;KL51_13,99.88%,100.00%;KL51_14_wcoZ,99.72%,100.00%;KL51_15_gnd,99.57%,100.00%;KL51_16_ugd,99.23%,100.00%		0		0 / 16 (0.00%)		4	KL40_03_wcpO,99.19%,100.00%;KL40_04,99.50%,100.00%;KL40_05_rfaG,99.47%,100.00%;KL150_19_gmd,98.80%,100.00%		
406	KL64	K64	Typeable	?6-	96.96%	91.09%	n/a	23 / 24 (95.83%)	KL64_01_galF,100.00%,100.00%;KL64_02_cpsACP,100.00%,100.00%;KL64_03_wzi,100.00%,100.00%;KL64_04_wza,26.47%,10.05%,partial,below_id_threshold;KL64_04_wza,100.00%,19.31%,partial;KL64_05_wzb,100.00%,100.00%;KL64_06_wzc,100.00%,100.00%;KL64_07_wzx,100.00%,100.00%;KL64_08_wcoV,100.00%,100.00%;KL64_09,97.56%,90.25%,partial;KL64_09,100.00%,5.97%,partial;KL64_10_wzy,100.00%,100.00%;KL64_11_wcoU,99.08%,100.00%;KL64_12_wcoT,100.00%,88.08%,partial;KL64_14_wcuK,100.00%,12.80%,partial;KL64_15_wbaZ,100.00%,100.00%;KL64_16_wcaJ,100.00%,100.00%;KL64_17_gnd,100.00%,100.00%;KL64_18_manC,100.00%,100.00%;KL64_19_manB,100.00%,100.00%;KL64_20_rmlB,99.73%,100.00%;KL64_21_rmlA,96.13%,53.63%,partial;KL64_21_rmlA,98.90%,31.49%,partial;KL64_22_rmlD,100.00%,100.00%;KL64_23_rmlC,100.00%,100.00%;KL64_24_ugd,100.00%,76.80%,partial;KL64_24_ugd,100.00%,20.10%,partial	KL64_13_wcsF	0		0 / 24 (0.00%)		2	KL40_05_rfaG,98.42%,99.74%;KL150_19_gmd,98.80%,100.00%		
42KP-HG	KL46	K46	Typeable	!	99.39%	100.00%	-1 bp	20 / 20 (100.00%)	KL46_01_galF,99.33%,100.00%;KL46_02_cpsACP,90.91%,100.00%;KL46_03_wzi,100.00%,100.00%;KL46_04_wza,100.00%,100.00%;KL46_05_wzb,100.00%,100.00%;KL46_06_wzc,99.72%,100.00%;KL46_07_wcaJ,100.00%,100.00%;KL46_08_wcuD,99.74%,100.00%;KL46_09_wzy,100.00%,100.00%;KL46_10_wcuC,99.75%,100.00%;KL46_11_wcuI,100.00%,100.00%;KL46_12_wcuF,99.45%,100.00%;KL46_13_wcuV,99.61%,77.78%,truncated;KL46_14_wclT,100.00%,100.00%;KL46_15_wzx,100.00%,100.00%;KL46_16_wckQ,100.00%,100.00%;KL46_17_gnd,99.79%,100.00%;KL46_18_manC,99.58%,100.00%;KL46_19_manB,100.00%,100.00%;KL46_20_ugd,100.00%,100.00%		0		2 / 20 (10.00%)	KL46_18_manC,99.58%,100.00%;KL46_19_manB,99.78%,98.25%	1	KL150_19_gmd,97.60%,100.00%	KL46_13_wcuV,99.61%,77.78%,truncated	
48KP-HG	KL51	K51	Typeable		99.69%	99.99%	2 bp	16 / 16 (100.00%)	KL51_01_galF,99.33%,100.00%;KL51_02_cpsACP,100.00%,100.00%;KL51_03_wzi,99.58%,100.00%;KL51_04_wza,99.74%,100.00%;KL51_05_wzb,100.00%,100.00%;KL51_06_wzc,99.86%,100.00%;KL51_07_wcaJ,99.79%,100.00%;KL51_08_wcpB,100.00%,100.00%;KL51_09_wzy,99.45%,100.00%;KL51_10_wcuF,99.18%,100.00%;KL51_11_wcpA,99.73%,100.00%;KL51_12_wzx,100.00%,100.00%;KL51_13,99.88%,100.00%;KL51_14_wcoZ,99.72%,100.00%;KL51_15_gnd,99.57%,100.00%;KL51_16_ugd,99.23%,100.00%		0		0 / 16 (0.00%)		4	KL40_03_wcpO,99.19%,100.00%;KL40_04,99.50%,100.00%;KL40_05_rfaG,99.47%,100.00%;KL150_19_gmd,98.80%,100.00%		
52KP-HG	KL21	K21	Typeable	?7	99.62%	101.42%	n/a	19 / 19 (100.00%)	KL21_01_galF,100.00%,100.00%;KL21_02_cpsACP,99.52%,100.00%;KL21_03_wzi,99.37%,100.00%;KL21_04_wza,100.00%,100.00%;KL21_05_wzb,100.00%,100.00%;KL21_06_wzc,99.72%,100.00%;KL21_07_wcuD,100.00%,100.00%;KL21_08_wzy,99.51%,100.00%;KL21_09_wcuE,99.40%,100.00%;KL21_10_wcuC,100.00%,100.00%;KL21_11_wbaZ,99.74%,100.00%;KL21_12_wbaP,99.16%,100.00%;KL21_13_wcuA,99.52%,100.00%;KL21_14_wcaL,99.51%,100.00%;KL21_15_wzx,99.77%,100.00%;KL21_16_gnd,100.00%,100.00%;KL21_17_manC,99.64%,58.60%,partial;KL21_17_manC,100.00%,25.27%,partial;KL21_17_manC,98.31%,25.05%,partial;KL21_17_manC,100.00%,14.01%,partial;KL21_18_manB,99.39%,72.37%,partial;KL21_18_manB,98.59%,15.57%,partial;KL21_18_manB,100.00%,11.62%,partial;KL21_19_ugd,99.74%,100.00%		0		0 / 19 (0.00%)		3	KL50_10,99.43%,100.00%;KL150_19_gmd,99.10%,100.00%;KL113_19_manB,98.41%,13.82%,partial		
